id,anchor,target,context,score
37d61fd2272659b1,減排,減少污染,A47,0.5
7b9652b17b68b7a4,減排,減輕行為,A47,0.75
36d72442aefd8232,減排,活性催化劑,A47,0.25
5296b0c19e1ce60e,減排,消除過程,A47,0.5
54c1e3b9184cb5b6,減排,林區,A47,0.0
067203128142739c,減排,溫室氣體,A47,0.25
061d17f04be2d1cf,減排,增加率,A47,0.25
e1f44e48399a2027,減排,測量水平,A47,0.25
0a425937a3e86d10,減排,最小化聲音,A47,0.5
ef2d4c2e6bbb208d,減排,混合芯材,A47,0.25
4c3f2750e7540ab7,減排,多污染減排裝置,A47,0.5
84261a11e5d1b68b,減排,降噪,A47,0.5
bfd7270f57530991,減排,污染減排,A47,0.5
b3832eac81b73dfd,減排,污染減排焚化爐,A47,0.5
9001756895ec8ca1,減排,污染證書,A47,0.0
cc96541d4987b399,減排,減租,A47,0.0
deb9204cd9783e8b,減排,吸附材料,A47,0.25
45db77f26e5ac39f,減排,源項污染減排技術,A47,0.5
1222e36d9a94c2a4,減排,石基台,A47,0.0
a8c9e9f37d4d836a,減排,減稅,A47,0.0
c450cc69fa315db9,減排,水體,A47,0.0
09913d3964d4c881,減排,減排,A61,0.5
87af8ea095cc18d4,減排,預防,A61,0.5
d7bb1ea2b761fef2,減排,預防,A61,0.25
f6dfaebab0d209b7,減排,污染減排,A62,0.5
ee25d53aac9ecaf0,減排,減排裝置,C01,0.5
4fd7d0a3b8887846,減排,治療,F16,0.0
506f8d0a6feae789,減排,減排裝置,F24,0.5
473137168ebf7484,減排,減少,F24,1.0
56acc49e0f5da095,減排,中心樞紐,F24,0.0
bc5af15a01442792,減排,控制面板,F24,0.0
c652ac20bb14b2b0,減排,不足,F24,0.25
f0b0f0898ec291eb,減排,減和弦,F24,0.0
4bb652c1091f3d1d,減排,縮小的圖像,F24,0.0
142436708875e523,減排,遞減,F24,0.5
b539d0f45bff2213,減排,消除,F24,0.5
fde22bfb2f89383c,減排,消除排放,F24,0.25
e490558573ed44ff,減排,消除污染物,F24,0.5
62dbb14376eb40ac,減排,增加,F24,0.25
13b13c212a1756f5,減排,遞增順序,F24,0.0
8524aecd17299b63,減排,減輕,F24,0.25
f1c655d247630730,減排,污染控制,F24,0.25
6917b6123c373233,減排,處理單元,F24,0.0
7ab0bc7f2b94c401,減排,去除空氣污染物,F24,0.5
4d9fb5ff45c8ab1d,減排,下沉,F24,0.5
1d4a73e6a5e56a01,減排,處理排放物,F24,0.5
98a851a58d837fb0,減排,降噪,F28,0.5
09db0a872aa1d88c,減排,降噪,H01,0.5
