context,description,mentioned_groups
A01,agriculture; forestry; animal husbandry; hunting; trapping; fishing,G01; E01; C12; A01; A61; E02; E21; A23
A21,baking; edible doughs,F23; A47; F24
A22,butchering; meat treatment; processing poultry or fish,B02; A23; C07
A23,"foods or foodstuffs; treatment thereof, not covered by other classes",B02; A21; A23; B26; A01; C11
A24,tobacco; cigars; cigarettes; simulated smoking devices; smokers' requisites,A61
A41,wearing apparel,D05; D06; A41; B26; D03
A42,headwear,A41
A43,footwear,
A44,haberdashery; jewellery,A43
A45,hand or travelling articles,A47; A41; B26; A61
A46,brushware,B25
A47,furniture; domestic articles or appliances; coffee mills; spice mills; suction cleaners in general,A45; B60; E03; E05; A46; B08; F16; A47; D06; B26; B68; E06
A61,medical or veterinary science; hygiene,G01; C01; A46; A01; C11; A61; H01; A23; G03; H05
A62,life-saving; fire-fighting,B64; G08; E21; A62; B63; A61; B05
A63,sports; games; amusements,G09; G04; B63; A63; A61; G07
A99,subject matter not otherwise provided for in this section,
B01,physical or chemical processes or apparatus in general,G01; F24; C02; C12; B67; F04; B07; F16; B01; B44; B30; B05; B03; B65; A61; B04; F02
B02,"crushing, pulverising, or disintegrating; preparatory treatment of grain for milling",F24; B03; A21; C12; B29; C08; A61; B22; F23; E21; A47; A23; D21; F25
B03,separation of solid materials using liquids or using pneumatic tables or jigs; magnetic or electrostatic separation of solid materials from solid materials or fluids; separation by high-voltage electric fields,B03; C11; B65; B07; H01; B01
B04,centrifugal apparatus or machines for carrying-out physical or chemical processes,B02; G01; F23; D06; B01; B07
B05,"spraying or atomising in general; applying fluent materials to surfaces, in general",F16; B65; B60; B01; B29; F04; A61; B05
B06,generating or transmitting mechanical vibrations in general,H03; G01; G10; B23; G05; B07; H04; B24
B07,separating solids from solids; sorting,B04; B03; B23; A43; B07
B08,cleaning,B03; A46; E01; B67; C23; B65; B07; B01; A47; A63; E04; H05; B05
B09,disposal of solid waste; reclamation of contaminated soil,A01; E01
B21,mechanical metal-working without essentially removing material; punching metal,B23; F27; B65; B22; F16; B21; B24; B30
B22,casting; powder metallurgy,C22; B29; C21; B28
B23,machine tools; metal-working not otherwise provided for,B23; C23; B22; F23; B24; B21; C25; H05
B24,grinding; polishing,E01; B24; C25; B23; C09
B25,hand tools; portable power-driven tools; manipulators,B60; A01; B08; H01; A43; F17; A46; B62; F22; B27; B23; G21; B65; A61; E21; B21; B66
B26,hand cutting tools; cutting; severing,C14; A01; A47; D06; B24; B68; A43; A24; B23; B65; B21; B26; B31; G02; A21; C06; B43; B25; A41; C03; G03; A45; C13; A46; C10; B27; B29; A61; A22; B02; G07; B28
B27,working or preserving wood or similar material; nailing or stapling machines in general,B27; B23; B29; A01; F26; F16; B44; B24; B25; D21; B28; E04; B05
