context,description,mentioned_groups
A01,"agriculture; forestry; animal husbandry; hunting; trapping; fishing; soil working in agriculture or forestry; parts, details, or accessories of agricultural machines or implements, in general ; planting; sowing; fertilising ; harvesting; mowing; processing of harvested produce; hay or straw presses; devices for storing agricultural or horticultural produce ; horticulture; cultivation of vegetables, flowers, rice, fruit, vines, hops or seaweed; forestry; watering ; new plants or {non-transgenic} processes for obtaining them; plant reproduction by tissue culture techniques; manufacture of dairy products ; animal husbandry; care of birds, fishes, insects; fishing; rearing or breeding animals, not otherwise provided for; new breeds of animals; shoeing of animals; catching, trapping or scaring of animals ; apparatus for the destruction of noxious animals or noxious plants; preservation of bodies of humans or animals or plants or parts thereof ; biocides, e.g. as disinfectants, as pesticides or as herbicides ; pest repellants or attractants; plant growth regulators; biocidal, pest repellant, pest attractant or plant growth regulatory activity of chemical compounds or preparations; foodstuffs; tobacco; baking; edible doughs; bakers' ovens; machines or equipment for baking ; machines or equipment for making or processing doughs; handling baked articles made from dough; treatment, e.g. preservation, of flour or dough, e.g. by addition of materials; baking; bakery products; preservation thereof; butchering; meat treatment; processing poultry or fish; slaughtering; processing meat, poultry, or fish ; foods or foodstuffs; treatment thereof, not covered by other classes; preserving, e.g. by canning, meat, fish, eggs, fruit, vegetables, edible seeds; chemical ripening of fruit or vegetables; the preserved, ripened, or canned products; dairy products, e.g. milk, butter or cheese; milk or cheese substitutes; making thereof ; edible oils or fats, e.g. margarines, shortenings, cooking oils ; coffee; tea; their substitutes; manufacture, preparation, or infusion thereof","{'A01', 'C07', 'A23', 'A61', 'A21', 'F24', 'F23', 'B02', 'E21', 'G01', 'E02', 'C11', 'E01', 'A47', 'C12'}"
A21,"cocoa; cocoa products, e.g. chocolate; substitutes for cocoa or cocoa products; confectionery; chewing gum; ice-cream; preparation thereof; protein compositions for foodstuffs; working-up proteins for foodstuffs; phosphatide compositions for foodstuffs; fodder; foods, foodstuffs, or non-alcoholic beverages, not covered by subclasses a21d or a23b-a23j; their preparation or treatment, e.g. cooking, modification of nutritive qualities, physical treatment ; preservation of foods or foodstuffs, in general; machines or apparatus for treating harvested fruit, vegetables or flower bulbs in bulk, not otherwise provided for; peeling vegetables or fruit in bulk; apparatus for preparing animal feeding- stuffs ; shaping or working of foodstuffs, not fully covered by a single other subclass; indexing scheme relating to foods, foodstuffs or non-alcoholic beverages; indexing scheme relating to lactic or propionic acid bacteria used in foodstuffs or food preparation","{'A01', 'B02', 'A23', 'A21', 'B26'}"
A22,tobacco; cigars; cigarettes; simulated smoking devices; smokers' requisites; manufacture or preparation of tobacco for smoking or chewing; tobacco; snuff; machines for making cigars or cigarettes; cigars; cigarettes; tobacco smoke filters; mouthpieces for cigars or cigarettes; manufacture of tobacco smoke filters or mouthpieces; smokers' requisites; match boxes; simulated smoking devices ; personal or domestic articles,{'A61'}
A23,"wearing apparel; shirts; underwear; baby linen; handkerchiefs; corsets; brassieres; outerwear; protective garments; accessories; garment fastenings; suspenders; artificial flowers; wigs; masks; feathers; appliances or methods for making clothes, e.g. for dress-making, for tailoring, not otherwise provided for ; headwear; hats; head coverings ; manufacturing or trimming head coverings, e.g. hats; footwear; characteristic features of footwear; parts of footwear; fastenings or attachments of footwear; laces in general; machines, tools, equipment or methods for manufacturing or repairing footwear; haberdashery; jewellery; buttons, pins, buckles, slide fasteners, or the like ; personal adornments, e.g. jewellery; coins; indexing scheme relating to buttons, pins, buckles or slide fasteners, and to jewellery, bracelets or other personal adornments; hand or travelling articles; walking sticks ; umbrellas; ladies' or like fans ; purses; luggage; hand carried bags; hairdressing or shaving equipment ; equipment for cosmetics or cosmetic treatments, e.g. for manicuring or pedicuring; travelling or camp equipment: sacks or packs carried on the body; brushware; brushes ; manufacture of brushes","{'D03', 'B25', 'A61', 'D05', 'A41', 'A43', 'D06', 'A47', 'B26'}"
A24,"furniture; domestic articles or appliances; coffee mills; spice mills; suction cleaners in general; tables; desks; office furniture; cabinets; drawers; general details of furniture ; chairs ; sofas; beds ; furniture specially adapted for children ; special furniture, fittings, or accessories for shops, storehouses, bars, restaurants or the like; paying counters; household or table equipment ; furnishings for windows or doors ; kitchen equipment; coffee mills; spice mills; apparatus for making beverages; sanitary equipment not otherwise provided for ; toilet accessories ; domestic washing or cleaning ; suction cleaners in general ","{'E05', 'B60', 'A46', 'E06', 'F16', 'A45', 'D06', 'E03', 'B68', 'B08', 'A47', 'B26'}"
A41,"health; amusement; medical or veterinary science; hygiene; diagnosis; surgery; identification ; dentistry; apparatus or methods for oral or dental hygiene ; veterinary instruments, implements, tools, or methods; filters implantable into blood vessels; prostheses; devices providing patency to, or preventing collapsing of, tubular structures of the body, e.g. stents; orthopaedic, nursing or contraceptive devices; fomentation; treatment or protection of eyes or ears; bandages, dressings or absorbent pads; first-aid kits ; transport, personal conveyances, or accommodation specially adapted for patients or disabled persons ; operating tables or chairs; chairs for dentistry; funeral devices ; physical therapy apparatus, e.g. devices for locating or stimulating reflex points in the body; artificial respiration; massage; bathing devices for special therapeutic or hygienic purposes or specific parts of the body ; containers specially adapted for medical or pharmaceutical purposes; devices or methods specially adapted for bringing pharmaceutical products into particular physical or administering forms; devices for administering food or medicines orally; baby comforters; devices for receiving spittle; preparations for medical, dental, or toilet purposes ; methods or apparatus for sterilising materials or objects in general; disinfection, sterilisation, or deodorisation of air; chemical aspects of bandages, dressings, absorbent pads, or surgical articles; materials for bandages, dressings, absorbent pads, or surgical articles ; devices for introducing media into, or onto, the body ; devices for transducing body media or for taking media from the body ; devices for producing or ending sleep or stupor {}; electrotherapy; magnetotherapy; radiation therapy; ultrasound therapy ; specific therapeutic activity of chemical compounds or medicinal preparations","{'A01', 'A46', 'H05', 'A23', 'A61', 'H01', 'G01', 'C11', 'C01', 'G03'}"
A42,"specific use of cosmetics or similar toilet preparations; life-saving; fire-fighting; devices, apparatus or methods for life-saving ; fire-fighting ; chemical means for extinguishing fires or for combating or protecting against harmful chemical agents; chemical materials for use in breathing apparatus; sports; games; amusements","{'B63', 'E21', 'B05', 'B64', 'A62', 'A61', 'G08'}"
A43,"apparatus for physical training, gymnastics, swimming, climbing, or fencing; ball games; training equipment ; skates; skis; roller skates; design or layout of courts, rinks or the like ; bowling games, e.g. skittles, bocce or bowls; installations therefor; bagatelle or similar games; billiards ; card, board, or roulette games; indoor games using small moving playing bodies; video games; games not otherwise provided for; merry-go-rounds; swings; rocking-horses; chutes; switchbacks; similar devices for public amusement; toys, e.g. tops, dolls, hoops or building blocks; devices for theatres, circuses, or the like; conjuring appliances or the like; racing; riding sports; equipment or accessories therefor ","{'B63', 'G07', 'A63', 'G04', 'A61', 'G09'}"
A44,subject matter not otherwise provided for in this section; subject matter not otherwise provided for in this section,set()
B01,"physical or chemical processes or apparatus in general; boiling; boiling apparatus {; evaporation; evaporation apparatus}; separation ; mixing, e.g. dissolving, emulsifying or dispersing ; chemical or physical processes, e.g. catalysis or colloid chemistry; their relevant apparatus; chemical or physical laboratory apparatus for general use ; crushing, pulverising, or disintegrating; preparatory treatment of grain for milling; preparing grain for milling; refining granular fruit to commercial products by working the surface ; crushing, pulverising, or disintegrating in general; milling grain ; separation of solid materials using liquids or using pneumatic tables or jigs; magnetic or electrostatic separation of solid materials from solid materials or fluids; separation by high-voltage electric fields; separating solid materials using liquids or using pneumatic tables or jigs ; magnetic or electrostatic separation of solid materials from solid materials or fluids; separation by high-voltage electric fields ","{'B07', 'C12', 'D21', 'A21', 'B03', 'F23', 'B44', 'B01', 'B30', 'C08', 'A47', 'B22', 'B67', 'F04', 'H01', 'F16', 'A61', 'A23', 'B29', 'F24', 'B05', 'F25', 'E21', 'G01', 'B04', 'C02', 'B65', 'F02'}"
B02,"flotation; differential sedimentation ; centrifugal apparatus or machines for carrying-out physical or chemical processes; centrifuges ; apparatus using free vortex flow, e.g. cyclones ; spraying or atomising in general; applying fluent materials to surfaces, in general; spraying apparatus; atomising apparatus; nozzles ","{'B60', 'F04', 'B07', 'B29', 'F16', 'A61', 'B03', 'F23', 'B02', 'B05', 'D06', 'G01', 'C11', 'B01'}"
B03,"apparatus for applying fluent materials to surfaces, in general ; processes for applying fluent materials to surfaces, in general ; generating or transmitting mechanical vibrations in general; methods or apparatus for generating or transmitting mechanical vibrations of infrasonic, sonic, or ultrasonic frequency, {e.g.} for performing mechanical work in general ; separating solids from solids; sorting; separating solids from solids by sieving, screening, sifting or by using gas currents; separating by other dry methods applicable to bulk material, e.g. loose articles fit to be handled like bulk material ; postal sorting; sorting individual articles, or bulk material fit to be sorted piece-meal, e.g. by picking ; cleaning","{'G05', 'G10', 'B07', 'B24', 'B03', 'B05', 'A43', 'G01', 'B04', 'B23', 'H04', 'B65', 'H03'}"
B04,cleaning in general; prevention of fouling in general ; disposal of solid waste; reclamation of contaminated soil; disposal of solid waste; reclamation of contaminated soil ; shaping; mechanical metal-working without essentially removing material; punching metal,"{'A01', 'B67', 'B07', 'H05', 'A46', 'C23', 'B03', 'B05', 'A63', 'B65', 'B01', 'E04', 'E01', 'A47'}"
B05,"rolling of metal ; manufacture of metal sheets, wire, rods, tubes or profiles, otherwise than by rolling; auxiliary operations used in connection with metal-working without essentially removing material; working or processing of sheet metal or metal tubes, rods or profiles without essentially removing material; punching metal ; working or processing of metal wire ; making needles, pins or nails of metal; making particular metal objects by rolling, e.g. screws, wheels, rings, barrels, balls ; forging; hammering; pressing metal; riveting; forge furnaces ; making forged or pressed metal products, e.g. horse-shoes, rivets, bolts or wheels ","{'B24', 'B21', 'F27', 'B23', 'B30', 'B65'}"
B06,making metal chains ; casting; powder metallurgy; foundry moulding ; casting of metals; casting of other substances by the same processes or devices ,"{'B29', 'C21', 'C22', 'F16', 'B28', 'B22'}"
B07,"working metallic powder; manufacture of articles from metallic powder; making metallic powder ; apparatus or devices specially adapted for metallic powder; machine tools; metal-working not otherwise provided for; turning; boring ; milling ; planing; slotting; shearing; broaching; sawing; filing; scraping; like operations for working metal by removing material, not otherwise provided for ; making gears or toothed racks ","{'C22', 'B23', 'B24', 'B21', 'B22'}"
B08,"thread cutting; working of screws, bolt heads, or nuts, in conjunction therewith ; working of metal by the action of a high concentration of electric current on a workpiece using an electrode which takes the place of a tool; such working combined with other forms of working of metal ; soldering or unsoldering; welding; cladding or plating by soldering or welding; cutting by applying heat locally, e.g. flame cutting; working by laser beam ; metal-working not otherwise provided for; combined operations; universal machine tools ","{'H05', 'B24', 'C23', 'B21', 'F23', 'C25', 'B23', 'B22'}"
B09,"details, components, or accessories for machine tools, e.g. arrangements for copying or controlling ; machine tools in general characterised by the construction of particular details or components; combinations or associations of metal-working machines, not directed to a particular result; grinding; polishing; machines, devices, or processes for grinding or polishing ; dressing or conditioning of abrading surfaces; feeding of grinding, polishing, or lapping agents; abrasive or related blasting with particulate material; tools for grinding, buffing or sharpening ; hand tools; portable power-driven tools; manipulators","{'C25', 'B23', 'B24', 'E01', 'C09'}"
B21,"tools or bench devices not otherwise provided for, for fastening, connecting, disengaging or holding; hand-held nailing or stapling tools; manually operated portable stapling tools ; percussive tools {}; combination or multi-purpose tools not otherwise provided for; details or components of portable power-driven tools not particularly related to the operations performed and not otherwise provided for {}; handles for hand implements ; workshop equipment, e.g. for marking-out work; storage means for workshops ; manipulators; chambers provided with manipulation devices ; hand cutting tools; cutting; severing; hand-held cutting tools not otherwise provided for ; cutting; details common to machines for perforating, punching, cutting-out, stamping-out or severing ; perforating; punching; cutting-out; stamping-out; severing by means other than cutting ; working or preserving wood or similar material; nailing or stapling machines in general; saws for wood or similar material; components or accessories therefor ; planing, drilling, milling, turning or universal machines for wood or similar material ; working veneer or plywood ; dovetailed work; tenons; slotting machines for wood or similar material; nailing or stapling machines ; accessory machines or apparatus for working wood or similar materials; tools for working wood or similar materials ; safety devices for wood working machines or tools; bending wood or similar material; cooperage; making wheels from wood or similar material; mechanical working of cane, cork, or similar materials; processes, apparatus or selection of substances for impregnating, staining, dyeing, bleaching of wood or similar materials, or treating of wood or similar materials with permeant liquids, not otherwise provided for ; chemical or physical treatment of cork, cane, reed, straw or similar materials","{'A21', 'C10', 'B68', 'B44', 'G03', 'B26', 'C06', 'B60', 'F22', 'F17', 'B24', 'F16', 'A22', 'A45', 'A43', 'B05', 'C03', 'B27', 'B43', 'B25', 'A01', 'G07', 'A46', 'C14', 'C13', 'A41', 'B28', 'B02', 'G21', 'G02', 'B62', 'B23', 'E04', 'B66', 'B08', 'A47', 'B31', 'H01', 'B29', 'A61', 'B21', 'E21', 'D06', 'B65', 'A24'}"
B22,"removing bark or vestiges of branches ; splitting wood; manufacture of veneer, wooden sticks, wood shavings, wood fibres or wood powder; working of wood not provided for in subclasses b27b - b27l; manufacture of specific wooden articles; manufacture by dry processes of articles, with or without organic binding agents, made from particles or fibres consisting of wood or other lignocellulosic or like organic material ; working cement, clay, or stone; shaping clay or other ceramic compositions; shaping slag; shaping mixtures containing cementitious material, e.g. plaster ; preparing clay; producing mixtures containing clay or cementitious material, e.g. plaster ; working stone or stone-like materials; working of plastics; working of substances in a plastic state in general","{'A01', 'D21', 'B29', 'B28', 'B27', 'B32', 'F26', 'B22'}"
B23,"preparation or pretreatment of the material to be shaped; making granules or preforms; recovery of plastics or other constituents of waste material containing plastics; shaping or joining of plastics; shaping of material in a plastic state, not otherwise provided for; after-treatment of the shaped products, e.g. repairing ; producing particular articles from plastics or from substances in a plastic state ; indexing scheme associated with subclasses b29b, b29c or b29d, relating to moulding materials or to materials for {moulds, } reinforcements, fillers or preformed parts, e.g. inserts; indexing scheme associated with subclass b29c, relating to particular articles; presses; presses in general {}; making articles of paper, cardboard or material worked in a manner analogous to paper; working paper, cardboard or material worked in a manner analogous to paper; making containers of paper, cardboard or material worked in a manner analogous to paper ; making wound articles, e.g. wound tubes, of paper, cardboard or material worked in a manner analogous to paper; making articles of paper, cardboard or material worked in a manner analogous to paper, not provided for in subclasses b31b or b31c ; mechanical working or deformation of paper, cardboard or material worked in a manner analogous to paper ; layered products; layered products, i.e. products built-up of strata of flat or non-flat, e.g. cellular or honeycomb, form; additive manufacturing technology; additive manufacturing, i.e. manufacturing of three-dimensional  objects by additive deposition, additive agglomeration or additive layering, e.g. by 3-d printing, stereolithography or selective laser sintering; printing; printing; lining machines; typewriters; stamps; machines or accessories for making, setting, or distributing type; type; photographic or photoelectric composing devices ; processes for the manufacture or reproduction of printing surfaces ","{'D21', 'B27', 'G03', 'B01', 'B29', 'B32', 'B65', 'B31'}"
B24,"apparatus for the mechanical reproduction of printing surfaces for stereotype printing; shaping elastic or deformable material to form printing surfaces ; printing machines or presses ; apparatus for bronze printing, line printing, or for bordering or edging sheets or like articles; auxiliary for perforating in conjunction with printing ; typewriters; selective printing mechanisms, {e.g. ink-jet printers, thermal printers}, i.e. mechanisms printing otherwise than from a forme; correction of typographical errors ; stamps; stamping or numbering apparatus or devices ; apparatus or devices for manifolding, duplicating or printing for office or other commercial purposes; addressing machines or like series-printing machines ; printing, duplicating, marking, or copying processes; colour printing, ; printing plates or foils ; materials for surfaces used in printing machines for printing, inking, damping, or the like; preparing such surfaces for use and conserving them","{'B41', 'G07', 'C09', 'C25', 'B23', 'B44', 'G03', 'H03', 'B26', 'H01', 'C23', 'G06', 'A22', 'D06', 'G01', 'B43', 'H04', 'B65'}"
B25,"indexing scheme relating to printing, lining machines, typewriters, and to stamps; bookbinding; albums; files; special printed matter; permanently attaching together sheets, quires or signatures or permanently attaching objects thereto ; bookbinding ; books; book covers; loose leaves; printed matter characterised by identification or security features; printed matter of special format or style not otherwise provided for; devices for use therewith and not otherwise provided for; movable-strip writing or reading apparatus; sheets temporarily attached together; filing appliances; file cards; indexing ; indexing scheme relating to books, filing appliances or the like; writing or drawing implements; bureau accessories; implements for writing or drawing ; articles for writing or drawing upon; {writing or drawing aids;} accessories for writing or drawing ; bureau accessories not otherwise provided for ; decorative arts; machines, apparatus or tools for artistic work, e.g. for sculpturing, guilloching, carving, branding, inlaying ; producing decorative effects ; mosaics; tarsia work ; paperhanging {}; painting or artistic drawing, not otherwise provided for; preserving paintings; surface treatment to obtain special artistic surface effects or finishes ; special designs or pictures","{'B41', 'A47', 'B25', 'G09', 'C14', 'B29', 'A45', 'B05', 'B27', 'B42', 'B31', 'B44', 'B26'}"
B26,"transporting; vehicles in general; vehicle wheels ; castors; axles for wheels or castors; increasing wheel adhesion; vehicle tyres; tyre inflation; tyre changing; connecting valves to inflatable elastic bodies in general; devices or arrangements related to tyres; vehicle connections ; vehicles for use both on rail and on road; amphibious or like vehicles; convertible vehicles ; vehicle suspension arrangements ; arrangements of heating, cooling, ventilating or other air-treating devices specially adapted for passenger or goods spaces of vehicles","{'B60', 'B21', 'B62'}"
