context,description,mentioned_groups
A01,農業;林業;畜牧業；打獵;陷阱；釣魚,G01; E01; C12; A01; A61; E02; E21; A23
A21,烘烤;食用麵團,F23; A47; F24
A22,屠宰肉類治療；加工禽或魚,B02; A23; C07
A23,食物或食品；治療，其他班級沒有涵蓋,B02; A21; A23; B26; A01; C11
A24,煙草;雪茄；香煙；模擬吸煙裝置；吸煙者的要求,A61
A41,穿著服裝,D05; D06; A41; B26; D03
A42,頭飾,A41
A43,鞋類,
A44,Haberdashery;首飾,A43
A45,手或旅行文章,A47; A41; B26; A61
A46,刷軟件,B25
A47,家具;國內文章或電器；咖啡廠；香料廠；吸水清潔劑一般,A45; B60; E03; E05; A46; B08; F16; A47; D06; B26; B68; E06
A61,醫學或獸醫科學；衛生,G01; C01; A46; A01; C11; A61; H01; A23; G03; H05
A62,救生;消防,B64; G08; E21; A62; B63; A61; B05
A63,運動的;遊戲；娛樂,G09; G04; B63; A63; A61; G07
A99,本節中沒有其他規定的主題,
B01,物理或化學過程或設備一般,G01; F24; C02; C12; B67; F04; B07; F16; B01; B44; B30; B05; B03; B65; A61; B04; F02
B02,壓碎，粉碎或分解；粉碎穀物的預備處理,F24; B03; A21; C12; B29; C08; A61; B22; F23; E21; A47; A23; D21; F25
B03,使用液體或使用氣動表或夾具分離實心材料；固體物質或液體的磁性或靜電分離；通過高壓電場分離,B03; C11; B65; B07; H01; B01
B04,離心設備或用於攜帶物理或化學過程的機器,B02; G01; F23; D06; B01; B07
B05,一般噴灑或霧化；通常，將流利的材料應用於表面,F16; B65; B60; B01; B29; F04; A61; B05
B06,一般產生或傳輸機械振動,H03; G01; G10; B23; G05; B07; H04; B24
B07,將固體與固體分離；排序,B04; B03; B23; A43; B07
B08,打掃,B03; A46; E01; B67; C23; B65; B07; B01; A47; A63; E04; H05; B05
B09,處置固體廢物；污染土壤的開墾,A01; E01
B21,機械金屬工程，而無需基本去除材料；打孔金屬,B23; F27; B65; B22; F16; B21; B24; B30
B22,鑄件;冶金粉,C22; B29; C21; B28
B23,機械工具;金屬工程沒有其他規定,B23; C23; B22; F23; B24; B21; C25; H05
B24,研磨拋光,E01; B24; C25; B23; C09
B25,手工工具；便攜式功率驅動工具；操縱器,B60; A01; B08; H01; A43; F17; A46; B62; F22; B27; B23; G21; B65; A61; E21; B21; B66
B26,手工切割工具；切割;切斷,C14; A01; A47; D06; B24; B68; A43; A24; B23; B65; B21; B26; B31; G02; A21; C06; B43; B25; A41; C03; G03; A45; C13; A46; C10; B27; B29; A61; A22; B02; G07; B28
